,claim,label
41088,US patent number 20120251502 is for Ebola.,2
34832,The shopping cart was not a resounding success when first introduced.,0
40328, Embattled “7th Heaven” actor   Stephen Collins has committed suicide.     ,1
1351,Father-son team plans Antarctic trek powered by renewable energy.,0
16481,"The president referred to the Syrian opposition just a few months ago as pharmacists and doctors, and so on.",0
31038,"""During a speech in which he declared Jesus Christ his """"redeemer,"""" Muslim leader Louis Farrakhan gave indications that he was breaking with Islam in favor of following Christianity.""",1
12401,"""Obamacare premiums have doubled"""" in Wisconsin.""",2
29088,Mortality rates in hospitals go up in July due to an influx of inexperienced doctors.,2
10510,Some Blood Pressure Drugs May Stave Off Dementia,0
10754,Midlife: Drop in testosterone can affect sexual desire in men and women,1
41718,The government gave the police much more use of Tasers to help deal with street crime.,0
17702,Things went wrong with the Medicare prescription D plan that George Bush rolled out.,0
37720,"""On July 28 2020, United States President Donald Trump lamented that doctors Anthony Fauci and Deborah Birx were popular for their coronavirus response, but """"nobody likes me.""",0
34629,Nylabone brand pet products are toxic and cause dogs to have seizures.,3
6169,Bird flu detected in chicken breeding facility in Tennessee.,0
5846,Indiana health agency urges residents to get tested for STDs.,0
2354,"Marijuana fans pack 4/20 events in Colorado, Washington state.",0
28402,"""In August 2018, """"researchers"""" provided a """"warning"""" about the spread of the """"flesh-eating STD"""" donovanosis.""",2
2938,UK lawmakers criticize govt's stockpiling of Roche drug Tamiflu.,0
4458,Gene-edited food quietly arrives in restaurant cooking oil.,0
9012,Multiple Studies Show Freespira® Eliminates Panic Attacks in 80% of Patients,1
15607,"Ben Carson is running for president to ‘eliminate dependency on government.’ But he doesn’t mention that he grew up in public schools, got public housing and food stamps, got free glasses from a government program, was helped by Affirmative Action, and got Pell Grants for college.",2
31348,A commercial produced by Volkswagen employs suicide bomber imagery.,1
8352,"As Myanmar farmers lose their land, sand mining for Singapore is blamed.",0
36216,"""Tim Allen shared """"pearls of wisdom"""" about Trump 2020, Chelsea Clinton, Maxine Waters, and the putative death of America should the sitting president not be re-elected.""",1
18488,"""If an individual is determined """"to commit suicide, the availability of a gun is not a factor"""" because they will find a way.""",1
7526,Woman who went to hospital twice tests positive for virus.,0
42106,"A meme claims that “if you cross the border illegally in the U.S., you get a Drivers License, Medical Insurance, housing, career training, the right to vote.”",1
41915,"""A White House plan to rescind unspent CHIP funds would be """"taking money away from kids who need health care.""",2
22859,"""Donna Garner Says Joe Straus """"was co-author of a bill that would have allowed Planned Parenthood to control public school sex education.""",1
14162,"""Water rates in Manila, Philippines, """"were raised up to 845 percent"""" when a subsidiary of the World Bank became a partial owner.""",2
9940,Heart failure therapy twice as effective in women,1
2864,"Australian scientists microchip bees to map movements, halt diseases.",0
37948,There’s more cases of Covid in the White House than in all of New Zealand.,1
2561,"Long-lived bats offer clues on diseases, aging.",0
9119,Football boosts bone development in boys,1
32110,Hillary Clinton vowed that she would shut down the NRA and ban handguns if she were elected President.,1
25983,A patient discharge document proves that “The WHO and CDC do NOT recommend that healthy people wear masks.”,1
10270,Antiviral Treatment During Pregnancy Reduces Mother-to-Child Transmission of Hepatitis B,0
4442,China convicts 3 researchers involved in gene-edited babies.,0
11348,New drug clears psoriasis in clinical trials,0
39072, An email is making the rounds that talks about a woman in Texas whose family has experienced a variety of health problems which she says are due to the lead content of some candles.  The email warns that burning candles in the home can lead to health problems.      ,0
12712,More than half of Planned Parenthood facilities are in rural or medically underserved areas.,0
15282,"""In FY 2014 Planned Parenthood performed 327,653 abortions while receiving $528 million from taxpayers, in violation"""" of """"the Hyde amendment.""",1
21992,"""The Central Falls School system """"spent $100,000 on a time clock.""",1
10622,Drug gives couch potato mice benefits of a workout,1
24549,"The claim ... that we plan to set up panels of bureaucrats with the power to  kill off senior citizens ... is a lie, plain and simple.",0
29600,"""American liberals are debating the merits of """"after birth abortion.""",1
34579,Scented candles can cause cancer (or other major health problems).,3
1676,"Fitness studios keep clients on track with photos, social media.",0
35842,A drug used to treat animal parasites like heartworm and roundworm is a potential cure for coronavirus. ,3
9404,FDA approves first blood test for concussion,2
7447,Dispute over reopening California Tesla factory may be over .,0
9667,"To quit smoking, it's best to go cold turkey, study finds",0
41761,"If you have a windmill anywhere near your house, congratulations, your house just went down 75 percent in value. And they say the noise causes cancer.",1
6537,FDA approves lower-cost alternative to biotech drug Humira.,0
2560,"Idaho, California cities deemed best in U.S. for men.",0
30709,"Dolly Parton said that the people of California were being punished with droughts, fires, mudslides and other natural disasters as punishment for embracing Satan.",1
11306,Study: Medical Marijuana Relieves Range of Symptoms With No Serious Side Effects,1
763,Thousands try to flee hurricane-devastated Bahamas islands.,0
24621,"Only 15 percent of drug users are African-American, yet 74 percent of all drug offenders sentenced to prison are black",2
11609,Study: Riskier surgeries for back pain raise costs,0
2498,"Tai chi: getting there more slowly, but gracefully and intact.",0
26602,Donald Trump Says Nancy Pelosi’s coronavirus bill includes “tax credits for solar and wind energy … retirement plans for community newspaper employees … $300 million for PBS … climate change studies” and more.,0
13359,"""Donald Trump Says after Hillary Clinton helped a man accused of raping a 12-year-old, """"she's seen laughing on two separate occasions, laughing at the girl who was raped.""",1
7458,Arkansas orders venue not to defy restrictions with concert.,0
33548,Eating turkey makes people especially drowsy.,1
2843,South Africa risks spreading totally drug-resistant TB: study.,0
26493,"""It is the decision of the President,"""" not governors, to """"open up the states.""",1
7988,"Canada coronavirus deaths jump by 35%, Quebec says equipment running low.",0
9090,"LED lights safer, more effective in producing Vitamin D3 than sunlight",1
10895,"Have a baby at new low, low price, says fertility doctor Joel Batzofin",1
5901,2 health departments investigate Legionnaires’ disease.,0
32798,A letter criticizing students at Oxford University for their desire to remove a statue of Cecil Rhodes was penned by a school official.,1
8350,South Korea declares new 'special care zone' as coronavirus spreads.,0
8144,Coronavirus supplies donated by Alibaba's Ma arrive in Africa.,0
27595,Maps and other escape aids were smuggled to Allied POWs in Monopoly sets during World War II.,0
17860,"Facebook post Says a man opted out of Obamacare after the marketplace launched on Oct. 1, 2013, and was informed he owed a $4,000 fine.",1
28788,The United States has approved plans to crossbreed animals and humans.,2
9912,"Gastric bypass more effective than other procedures, studies find",1
23027,Georgia has the second-highest rate of childhood obesity in the United States.,0
8110,"Greta Thunberg says probably had COVID-19, urges #StayAtHome.",0
9067,HPV testing is better than the Pap test at detecting cervical cancer,0
8446,Explainer: What are coronavirus antibody tests?.,0
3468,Incubation period ends for possible Denver measles exposure.,0
18281,"""One person, Kathleen Sebelius, was going to determine whether or not"""" 10-year-old lung patient Sarah Murnaghan would live or die.""",1
26726,“Coronavirus Hoax: Fake Virus Pandemic Fabricated to Cover-Up Global Outbreak of 5G Syndrome.”,1
354,Purdue's Sackler family fights 'inflammatory' Massachusetts opioid case.,0
1709,"Slash sugar intake to fight obesity, tooth decay: WHO.",0
7971,Australia begins pre-clinical testing for coronavirus vaccine.,0
26326,“The CDC has recommended mail in voting. That’s what this whole pandemic is about: the election!”,1
2151,Happiness makes for a healthy heart.,0
8864,Vietnam military to test bird flu vaccine on humans.,0
13660,"""Legal prescription drugs """"statistically kill 100,000 people a year, (but) there are no documented deaths due to marijuana.""",2
10243,New Antibiotic Packs a Punch Against Bacterial Resistance,1
14942,"""Obamacare insurance cooperative failures """"should be expected"""" because they're like any business, and """"when you start businesses in America, at the fifth year, half of the businesses have closed.""",2
11289,Treatment brings hope for ovarian cancer,0
30270,Babysitter Nora Jackson was arrested in Florida for tying a baby to a ceiling fan for 26 hours.,1
8974,New emerging research suggests Montmorency tart cherries may help enhance gut health,1
38986,  Compact fluorescent light bulbs (CFLs) are radioactive and add more toxicity to the environment than regular light bulbs because they contain mercury. ,2
35310,List describes a number of amazing coincidences that can be found between the assassinations of Abraham Lincoln and John F. Kennedy.,1
17227,Medicare has spent $172 million on penis pumps in the last five years at $360 a pop.,0
14421,"According to the Centers for Disease Control and Prevention (CDC), about 120 Americans on average die from a drug overdose every day. Overall, drug overdose deaths now outnumber deaths from firearms.",0
10985,Common Diagnostic Test May Prolong Low Back Pain,1
10446,Next step for anti-cancer vaccine,1
26219,"“We’re down near the low end of per capita deaths ... Most places are at 60 deaths per 100,000. We're at 29.”",1
8702,"In lockdown Britain, 'Mancunian Motivator' brings fun and fitness to neighbours.",0
10102,Consuming more olive oil may protect against strokes,2
30575,"CNN asked a survivor of the 14 February 2018 mass shooting in Parkland, Florida to deliver scripted remarks during a televised town hall.",1
22898,We are giving almost $2 billion of taxpayer money to the junk food and fast food industries every year to make the (childhood obesity) epidemic worse.,1
28490,"A significant number of internet users 'attacked' Andrew Pollack, a man mourning the death of his daughter, on the basis of his support for Donald Trump.",2
10310,Increasing the Odds of Prostate Cancer Detection,1
38332, Drinking a few spoonfuls of Apple Cider Vinegar a day brings a host of health benefits. ,2
27918,Baby Orajel can cause infants to stop breathing and turn blue.,0
30695,A Centers for Disease Control and Prevention doctor said the flu vaccine is causing the deadly flu epidemic.,1
31960,Canadian prime minister Justin Trudeau is Fidel Castro’s son.,1
2801,China reports second case of new bird flu strain.,0
37988,"""Baby witches"""" on TikTok/WitchTok collaborated to """"hex the moon"""" and """"hex the fae"""" in July 2020.""",3
10381,Chew On This: Sticking With Nicotine Gum for the Long Haul,2
26784,Facebook post Says the coronavirus can be slowed or stopped with the “immediate widespread use of high doses of vitamin C.”,1
34186,"""A photograph shared on social media in mid-2019 shows a """"skinhead"""" police officer with a """"right-wing militia"""" tattoo. """,3
520,South Africa's Karoo drills and prays as taps run dry.,0
33285,"""A teenager was given a 25-year prison sentence for a prank known as """"swatting.""",1
14356,"Twenty-seven out-of-state pharmaceutical companies have raised more campaign dollars (against a drug price control measure) than all other state ballot measures have raised to date, combined.",2
7836,4D scans show fetuses yawn in the womb.,0
3375,Health officials: New HIV diagnoses on decline in Chicago.,0
10899,Targeted Breast Cancer Drug Shrinks Tumors,1
2602,Jacobs Ladder climbers reap tough fitness rewards.,0
9636,Reviving Memory With An Electrical Current,1
6277,Investigation: Lead in some Canadian water worse than Flint.,0
27895,Target does not allow Salvation Army bellringers to solicit donations on stores premises.,0
11108,Alzheimer's Disease Prevention: New Journal Article Highlights Benefits of Meditation and Spiritual Fitness,2
12186,Ted Kaczynski has less restrictive confinement than the youth at Lincoln Hills.,0
9342,"Multigene test may find risk for heart disease, diabetes and breast cancer",2
9898,"More stress tests needed before angioplasties, study says",0
8689,"'I thought I would never wake up,' Belgian doctor says after surviving COVID-19.",0
7830,Solar-powered plane takes off for flight across U.S.,0
2547,Rules call for swing to healthier snacks in schools.,0
17358,"""As a result of climate change, ice fishermen in Wisconsin """"are already noticing fewer days they can be out on our ice covered lakes.""",0
28073,A pair of photographs shows a severely dehydrated homeless veteran on the streets of Los Angeles.,0
26783,“Hair weave and lace fronts manufactured in China may contain the coronavirus.”,1
34391,Jelly sandals sold by Walmart contain unsafe amounts of lead.,3
24459,"Forcing Americans off of their current health coverage and onto a government-run plan isn't the answer, but that's exactly what the Democrats' plan would do.",1
10405,Study hints multivitamins aid women’s heart health,2
35189,"Dr. Abdu Sharkawy, an infectious diseases specialist, penned a viral Facebook post warning about the loss of reason in the face of panic over the new coronavirus in 2020.",0
35176,Eating carrots results in significantly improved vision.,1
8312,China's Wuhan to keep testing residents as coronavirus lockdown eases.,0
33832,Anti-perspirants have been identified as the leading cause of breast cancer. ,1
29969,"When ingested orally or applied topically to an open wound, cayenne pepper can stop serious bleeding.",1
6686,Trump plan to stop HIV epidemic targets high-infection areas.,0
25653,Viral image Says Chadwick Boseman was poisoned and his death is being investigated as a homicide.,1
427,Poland hit by bird flu outbreak on turkey farms.,0
10743,Lung ultrasound may be a safe substitute for chest X-ray when diagnosing pneumonia in children,0
13593,"As the number of vaccines administered to children has increased in the United States, so has the autism rate.",1
23136,"""David Cicilline Says """"John Loughlin voted to let people accused of domestic violence keep their guns.""",0
9038,Extending dosing intervals reduces deadly side effect risk from multiple sclerosis drug,1
30691,"""New U.S. Army medics will be treating battlefield injuries with """"alternative medicine"""" such as homeopathic dilutions and prayer beads.""",1
7950,"For richer or poorer: coronavirus, cheap oil test climate vows.",0
34793,"""Walter Reed Hospital will accept Christmas cards addressed to """"A Recovering American Soldier.""",2
10475,Quality of Life Found Equal With 2 Breast Cancer Drugs,2
30790,"""A photograph shows a """"new hand sign"""" that is being used by teenagers to signal that they wish to buy or sell drugs.""",1
14286,"""Statistics show """"you are about nine times more likely to be assaulted by a taxi driver"""" in Austin than a driver for a ride-hailing service.""",1
39122, An email is received alleged to be from a seven year old girl who has lung cancer from second hand smoke and a large brain tumor from beatings.  The email says she will die without help but that her family can’t pay.  Recipients of the message are asked to forward it to others and that the Make-A-Wish Foundation has agreed to donate 7 cents for each name on the list for Amy’s medical treatment.  ,1
3639,Former nicotine research monkeys now at primate sanctuary.,0
1963,TV product placements termed junk food ad loophole.,0
26815,High levels of sulfur dioxide in Wuhan “may be a sign of mass cremations of victims of the coronavirus.,1
1681,A space odyssey: cosmic rays may damage the brains of astronauts.,0
4894,Chicago teachers’ strike highlights support staff shortages.,0
7559,"In clamor to reopen, many black people feel overlooked.",0
8872,"J&J, FDA warn of liver risk with HIV drug patients.",0
2976,California gorilla treated for cataract.,0
8378,Researchers identify two coronavirus strains as China cases dwindle.,0
9195,Laparoscopic anti-reflux operation for GERD linked to fewer postoperative complications,0
42092,CDC Caught Flying Diseased Caravan Migrants Into U.S. for Medical Treatment,1
35433,A photograph shows one petri dish that was coughed on by a person not wearing a mask and another petri dish coughed on by the same person wearing a mask. ,0
4617,Stricter liquor rules give Lithuanians a severe hangover.,0
5437,Indonesian police arrest hundreds linked to forest fires.,0
10792,FDA finds increase in suicide symptoms for patients using seizure medications,0
22573,"""The government will """"go out and buy my breast pump for my babies.""",1
33717,The charred remains of a scuba diver were discovered in a tree after a forest fire.,1
11250,Coconuts are busting out all over,1
40244, Faith Hoemspine is a 5-year-old who is             fighting a losing battle with cancer.  She’s in the Shriner’s             hospital in Cincinnati and wants to receive the most get well cards             anyone has ever received.  ,1
9531,Ingredient in magic mushrooms is shown to ease anxiety and depression in cancer patients in one dose,0
10842,Three tests may foil artery-disease deaths,1
20950,"If Congress does not pass the renewal of the payroll tax cut before the end of the year, nearly 160 million working families will see their taxes go up by roughly $1,000.",2
36193,A video proves that a Starbucks Venti cup (20 ounces) is suspiciously similar in volume to a Starbucks Grande cup (12 ounces.),3
10368,Foot wrap offers alternative to medication for patients with restless legs syndrome,1
37580,Artist Pablo Picasso died in 1973.,0
17789,Wendy Davis opposes any limits on abortion.,1
22210,We are the most generous in New England and New England is known for its generosity toward its welfare recipients.,2
10544,"Accutane Linked Heart, Liver Woes",0
26209,"“For the World Health Organization, the international entity whose sole responsibility it is to alert the world of global pandemics like this, to miss this, is a huge problem.”",1
2988,Aviation experts puzzled after airliner dumps fuel over city.,0
16569,"""Ponzi schemer Scott Rothstein """"gave hundreds of thousands of campaign cash to control Crist’s appointments of key state judges.""",2
3808,"In taking on high drug prices, Trump faces a complex nemesis.",0
26428,“Even President Trump’s own EPA has admitted that this rule (on air pollutants) threatens to cause serious health problems including brain damage and death and to inflict billions of dollars of economic damage on our struggling economy.”,2
11573,"Prostate cancer being overtreated, study shows",0
16650,"""Milwaukee County Sheriff David A. Clarke Jr. advised citizens to """"point that barrel center mass and pull the trigger"""" because """"911 is not our best option.""",0
11146,A Touch of Massage Therapy: Reiki Used for Cancer Patients,0
3970,Seoul: North Korea confirms African swine fever outbreak.,0
9322,3-Drug Therapy Might Be Cystic Fibrosis 'Breakthrough',2
7331,Coronavirus pandemic disrupts Appalachian Trail dreams.,0
26057,“Of course I will always protect those with preexisting conditions. Always.”,1
28120,Star football player Brian Banks was convicted of raping a woman who confessed on Facebook that she fabricated her accusation -- after he served six years in prison.,0
26117,"In a very real sense, (Oklahoma has) flattened the curve. ... The number of cases in Oklahoma — it's declined precipitously.",1
5279,Duchess of Cambridge pool-playing skills deemed ‘dreadful’.,0
6485,Caregiver of Indian girl found dead in Texas wants answers.,0
2372,Maker of Four Loko flavored malt liquor accepts marketing limits.,0
3727,German doctor fined again over abortion advertising ban.,0
7975,European labs to receive control material to spot false negative coronavirus tests.,0
7200,"Jimmy Carter: To beat Trump, Dems cannot scare off moderates.",0
16806,"13 percent of Americans, the lowest ever, are without health care.",2
1967,"Twig tea, anyone? Study says labels often mislead.",0
20878,Chris Abele Says Milwaukee County buses are no less safe now than a year or two ago.,1
24102,"With this reform, every insured American gets valuable consumer protections, and every uninsured American can become insured.",0
8003,"Facing shortages, India bets on China for swift ramp-up of protective health gear: sources.",0
10020,Got High Blood Pressure? Kiwi Fruit May Help,2
3236,"As California thins forests to limit fire risk, some resist.",0
28149,"Crystal Griner, the officer who saved Steve Scalise, is a lesbian (and the congressman is anti-gay rights).",0
11336,Pacemaker-like device combined with defibrillator reduces deaths in mild heart failure by 29%,2
361,Roche sues U.S. executives in fight over diabetes test strips.,0
9635,"Magic mushroom ingredient may ease severe depression, study suggests",2
7797,Doctors warn of demand for 'vaginal seeding' despite thin evidence.,0
31714,Lady Gaga's halftime performance at the 2017 Super Bowl took the form of a Satanic ritual.,1
27912,Chick-fil-A has donated money to organizations that oppose same-sex marriage.,0
5667,European Medicines Agency recommends licensing Ebola vaccine.,0
11056,Drug Extends Prostate Cancer Survival,1
36470,"""The last line of an October 1886 Statue of Liberty dedication speech read: """"There is room in America and brotherhood for all who will support our institutions and aid in our development. But those who come to disturb our peace and dethrone our laws are aliens and enemies forever.""",2
9795,Mammograms Can Save Lives of Women in Their 40s: Study,0
2895,"Fad diets can work, but experts find no magic slimming bullet.",0
14809,Mike Morell testified and told Congress that the reason Obama has not bombed ISIS' oil fields is they're concerned about global warming.,1
5538,Britain’s young royals promote conversation on mental health.,0
33987,People have died laughing.,0
6668,Metaphorical Washington ‘swamp’ overrun by actual vermin.,0
5737,4 hepatitis A cases found in Denver; vaccinations stepped up.,0
27115,"In April 2019, when the U.S. House of Representatives voted to reauthorize the Violence Against Women Act, the NRA opposed the move due to the addition of amendments that would lower the criminal threshold required to bar someone from buying a gun.",0
29375,"""President Trump lifted sanctions against Russia as a """"gift"""" to Putin.""",1
9384,"Marijuana legalization could help offset opioid epidemic, studies find",2
26561,“Queen Elizabeth tests positive for COVID-19.”,1
8141,Swedish PM tells Swedes to take responsibility in national address on coronavirus.,0
29605,"Castoreum, a secretion produced by beavers, is commonly used as a food additive.",1
11545,"New Study Shows Ketamine May Regenerate Brain Cells, Relieving Depression with Lasting Benefit",1
5831,"Fewer babies born with syphilis in Louisiana, more across US.",0
2484,It's all about the roll when choosing running shoes.,0
18797,"Joyce Beatty Says each year approximately 30,000 people in the United States die as a result of gunfire, and about 80,000 people are wounded.",0
6438,Ex-day care worker charged in death of 6-month-old.,0
41065,"Suicide is the cause of death for around 3,000 people per day",1
11253,Confusion surrounds B12 deficiency,1
37596,78 percent of women reconsider having an abortion after seeing an ultrasound of their pregnancy.,1
25988,“The spot where they are ‘getting a sample’ for the COVID-19 test is called your Blood-Brain Barrier.”,1
35295,"""U.S. President Donald Trump said """"hundreds"""" of governors are calling him amid the COVID-19 coronavorus pandemic.""",1
16243,"""We have spent $350 million to deal with sea-level rise"""" in the Miami area and """"hundreds of millions of dollars to deal with coral reefs.""",1
11010,Experimental TB Test Called Fast and Accurate,2
10252,FDA approves first drug to treat hallucinations and delusions associated with Parkinson’s disease,2
3126,23 states widen challenge to Trump administration car rules.,0
40399, This eRumor includes a series of pictures of what is says is the hand of a man who was bitten by a brown recluse spider.  It also claims that the brown recluse is the most dangerous spider in the U.S. ,3
12431,"Nearly $2 billion in cash was flown over to Iran, money that the Obama administration has admitted is being used for terrorists and to support further activities there.",2
26801,“Corona virus: Florida man arrested for robbery using cough as a weapon.”,1
34199,Intravenous drug users commonly clean their needles by sticking them into rolls of toilet paper in public bathrooms. ,3
4563,Vegetarians gaining ground in carnivorous Argentina.,0
9981,Study: ADHD Diet Helps Reduce Symptoms,1
7384,EU: Possible virus drug approval ‘before the summer’.,0
35203,People with Type-A blood are more susceptible to COVID-19. ,3
2659,"Crowded, stretched world awaits 7 billionth baby.",0
8107,"French coronavirus death toll tops 1,000, lockdown likely to be extended.",0
9544,Balloon-in-a-pill helped obese patients lose weight,0
33325,Doctors have performed the first successful human head transplant.,1
32502,"Mike Pence said that if abortion were allowed in cases of rape, then women would try to get raped in order to have abortions.",1
6366,Vaccinations offered amid hepatitis worries in Franklin Co.,0
10114,Muscle Relaxant May Ease Fibromyalgia Pain,2
29681,"St. Patrick led the genocide of a contingent of Twa 'pygmies' from Central Africa, who were the original inhabitants of Ireland.",1
18047,"""Scott Walker Says President Franklin Delano Roosevelt """"felt there wasn’t a need in the public sector to have collective bargaining because the government is the people.""",0
11177,Braeburn Pharmaceuticals and Camurus announce positive top line results from Phase 2 opioid challenge study with CAM2038 in subjects with opioid use disorder,1
31368,Photographs show a “new killer insect” that is able to spread a skin-altering virus when touched.,1
11392,Surgeon’s trial study on cancer is hailed,2
9883,"Niacin shrinks artery plaque; Merck’s Zetia does not and may carry risks, new study finds",0
33044,"""The CDC linked a parasitic worm outbreak to the use of """"worm filler"""" in McDonald's beef patties.""",1
34496,Macy's pulled funding from Planned Parenthood in December 2016 under pressure from anti-abortion groups.,3
26323,"""Young people """"have a greater chance of being killed by the HPV vaccine than COVID-19.”""",1
29576,"""Photographs of a six-year-old Happy Meal document that McDonald's food items don't break down or rot like """"real"""" food.""",1
8475,"Forest fire around Chernobyl plant put out, Ukraine says.",0
14396,"""Congress will begin its recess """"without having allocated one penny"""" to fight Zika.""",0
30556,Vibrant Body Company staged an online bra promotion as a front for human trafficking.,1
3237,Weight loss among fat-acceptance influencers a fraught topic.,0
14722,"""I helped write"""" the Affordable Care Act.""",1
7591,"After bridge collapse, flashbacks, anxiety for one survivor.",0
24165,"""My """"border security efforts have led to a 60 percent decrease in border crime.""",1
35254,First daughter Ivanka Trump was granted a trademark on coffins in China and stands to profit from the COVID-19 pandemic.,2
16768,"Teenage births cost Texas taxpayers $1.1 billion in health care, foster care and lost tax revenue in 2010 alone.",2
34584,"DNC speaker Khizr Khan, father of fallen Army Capt. Humayun Khan, is a Muslim Brotherhood operative.",3
3516,Connecticut lawmakers considering expanding seatbelt law.,0
9035,"NIH scientists adapt new brain disease test for Parkinson’s, dementia with Lewy bodies",2
10094,Parkinson’s patients get relief from symptoms with Pilates,1
36376,A proposed bill in Ohio would ban birth control pills and IUDs if it passes.,3
10887,Dose reduction strategy can substantially reduce high cost of TNF inhibitor therapy in RA,2
2308,"Pope Francis warns on 'evil' of drugs, opposes legalization.",0
27089,"""The U.S. government """"subsidizes"""" medications for erectile dysfunction.""",0
1643,"In rise of U.S. vape shops, owners eye new marijuana market.",0
8706,Ventilator receives first approval in UK's coronavirus battle.,0
6575,Colorado OKs electric car requirement to fight air pollution.,0
20332,"Lean, finely textured beef is the proper name [not pink slime], and it is a safe, widely used product.",0
22750,"""Under current U.S. immigration policy, """"literally one person with a green card"""" can, in the extreme, bring in more than 270 of his relatives.""",1
8755,Mini antibodies: biotech's next big thing?.,0
33344,Drinking cold water after meals causes unpleasant and lasting side effects.,1
33488,College cafeteria food is laced with laxatives.,1
9134,Uterine fibroid embolization helps restore fertility,2
33834,"Gangster John Dillinger's exceptionally large penis is housed in one of the Smithsonian museums in Washington, D.C.",1
31590,"Attorney General Jeff Sessions said using marijuana leads to more sex, thus causing more unwanted pregnancies and more abortions.",1
9021,Eating pecans had significant effect on biomarkers of heart disease and type 2 diabetes,1
37913,BREAKING: Autopsy reveals that Kyle Rittenhouse’s first victim was shot in the back multiple times. Rittenhouse did not act in self-defense.,2
7470,US report indicates broad risk of COVID-19 at wildfire camps.,0
11632,Alternative to Statins Shows Promise,1
31437,"A Popeye's manager in Brunswick, Georgia was caught lacing chicken with cocaine to drive business.",1
25969,"Facebook post Says COVID-19 testing could be done with mouth swabs, so maybe deeper swabbing is “implanting something.”",1
20285,We are at a 40-year low in our crime rate in our state.,0
8051,'Like wartime' - Philippine doctors overwhelmed by coronavirus deluge.,0
35529,The U.S. Department of Justice issued a card that exempts holders from wearing face masks on the grounds that it poses a health risk to them due to medical conditions they aren't required to disclose by authority of the Americans with Disabilities Act (ADA).,1
4258,Talc verdict winner: Money can’t make up for lost health.,0
29173,Entering the wrong PIN into a card reader will protect you against debit card fraud.,1
4794,French women demand action amid high domestic violence rate.,0
38776, Bananas purchased at Walmart and other stores in the U.S. have been injected with HIV blood. ,1
32429,A 12-year-old Wisconsin girl in died as a result of receiving the Gardasil HPV vaccine.,1
15699,U.S. police killed more people in just one month than the U.K.’s did in over a century.,1
27942,Some symptoms of a heart attack are subtle and can be mistaken for indigestion.,0
27992,Pittsburgh Pirates pitcher Dock Ellis hurled a no-hitter while under the influence of LSD.,0
8081,Locked-down French Catholics mark holy mass via YouTube.,0
1994,"""New York Earth Day celebrates with """"virtual"""" forests.""",0
11236,Antidepressants linked to major personality changes,2
41871,We’ve got the cleanest country in the planet right now. There’s nobody cleaner than us.,1
24688,"""Sotomayor thinks """"that one’s sex, race and ethnicity ought to affect the decisions one renders from the bench.""",2
36227,"Breastmilk effectively treats many conditions, including abrasions, cuts, insect bites, diaper rash, eczema, acne, and burns.",3
3931,Porter County to offer genetic tests for juvenile offenders.,0
10220,The promise of proton-beam therapy,0
31991,"When the Germans ordered Jews in occupied Denmark to identify themselves by wearing armbands with yellow stars during World War II, King Christian X of Denmark and non-Jewish Danes thwarted the order by donning the armbands themselves.",1
1071,"Health funding gap means 1,700 in Gaza may face amputations: U.N.",0
41045,This new virus is not heat-resistant and will be killed by a temperature of just 26/27 degrees. It hates the Sun.,3
2993,China reports 1st death from new type of coronavirus .,0
3134,Mexico City plastic bag ban to take residents back in time.,0
180,Biotech is going to the dogs - and big profits await.,0
31231,"""Health officials announced in June 2017 that Donald Trump's health is """"deteriorating.""",1
7538,Fauci warns of ‘suffering and death’ if US reopens too soon.,0
7254,Nebraska eyes county facility to treat juvenile offenders.,0
33962,"""Astronaut and former NFL player Leland Melvin wrote an open letter to Donald Trump concerning the President's comments about the """"Take a Knee"""" protest.""",0
3366,Health officials: At least 2 Idaho kids have died from flu.,0
9650,Teen Feels 'Hopeful' After Experimental Stem Cell Procedure on Damaged Heart,1
26441,Herd immunity is probably why California has far fewer COVID-19 deaths than New York.,1
7359,Things to Know: Face covering rules vary by jurisdiction.,0
37481,The cities of Los Angeles and New York City announced that no concerts or sporting events would be held until 2021.,2
6475,Continued protection sought for medical-marijuana states.,0
16194,"According to recent reports, a group of death panels organized under Obamacare ordered their first execution.",1
36541,"A Facebook post shows a huge turnout (of at least 650,000 people) at 2019's March for Life demonstration.",1
6080,Legionnaires’ disease found in adjacent California prisons.,0
2990,Australian wildfire smoke stokes health fears in cities.,0
18159,"""Gilberto Hinojosa Says if Texas abortion measure passes, """"someone living in El Paso would have to drive 550 miles each way to San Antonio for something as simple as cervical cancer screening.""",1
3497,Judge won’t compel health system to fund doctor’s defense.,0
28707,"Jellyfish and lobsters are considered biologically immortal, meaning they don’t age and will never die unless they are killed.",2
4254,Record $417M award in lawsuit linking baby powder to cancer.,0
11122,Preventing cancer: Study finds dramatic benefits of weight-loss surgery,2
18990,A man using bath salts reported that raccoons had set fire inside his home and stolen his cell phone.,0
16056,Newly Elected Republican Senators Sign Pledge to Eliminate Food Stamp Program in 2015.,1
3899,Mental health services a concern in rural Nebraska schools.,0
3455,Moroccan journalist denies charges of illegal abortion.,0
30203,"Police executing a search warrant at the home of a Bloomington, Illinois, mortician discovered 218 embalmed human penises.",1
16782,"""On the last night of the General Assembly, """"by 11 o'clock 95 to 98 percent of the business was done. So we really didn't have that late-night session. We were just holding on one bill.""",1
38297, Prayer requests for a boy named Dakota who was suffering from continuous seizures and was airlifted to a hospital in Dallas made the rounds on social media in December 2016 and May 2017. ,3
